DATAFLOW,FREQ,REF_AREA,MEASURE,ACTIVITY,SIZE_CLASS,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VAPE,H4922,S1T249,XDC,2011,18.1769981384277,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VAPE,H492,S50T249,XDC,2011,28.0876789093018,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VAPE,H492,S_GE250,XDC,2011,46.243335723877,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H492,S_GE20,XDC,2011,3536458,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H4922,S20T49,XDC,2011,233328,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H4922,S1T9,XDC,2011,244212,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H4922,S10T49,XDC,2011,300260,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H492,S1T19,XDC,2011,688339,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GFLA,H492,_T,XDC,2011,290862,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GFLA,H4921,_T,XDC,2011,186894,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,TUTT,H4921,S1T19,XDC,2011,178790,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VAPE,H4923,S_GE20,XDC,2011,42.0601005554199,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VAPE,H4921,S_GE20,XDC,2011,45.2742729187012,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VAPE,H492,S_GE20,XDC,2011,34.0670852661133,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VAPE,H4922,S1T19,XDC,2011,20.0228004455566,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,VAPE,H4923,S1T19,XDC,2011,22.397611618042,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H4922,S20T49,ENT,2011,1169,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H4923,_T,ENT,2011,158235,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,ENTR,H492,S20T49,ENT,2011,2914,A,0,0
