tech,country,year,coef,value,unit,provenance
AIR.DOM,DE,Y21,fuel_envelope,10672.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,DE,Y22,intensity_electricity,0.1755,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,DE,Y22,intensity_liquid,0.0474,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,DE,Y22,intensity_liquid,0.2242,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,DE,Y22,intensity_total,1.7754,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,DE,Y22,fuel_envelope,14508.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,DE,Y23,intensity_electricity,0.1756,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,DE,Y23,intensity_liquid,0.0509,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,DE,Y23,intensity_liquid,0.2393,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,DE,Y23,intensity_total,1.4605,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,DE,Y23,fuel_envelope,15699.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,DK,Y21,fuel_envelope,749.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,DK,Y22,fuel_envelope,1035.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,DK,Y23,fuel_envelope,1039.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,DO,Y21,fuel_envelope,56.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,DO,Y22,fuel_envelope,64.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,DO,Y23,fuel_envelope,53.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,DZ,Y21,fuel_envelope,3263.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,DZ,Y22,fuel_envelope,5115.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,DZ,Y23,fuel_envelope,3650.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,EC,Y21,fuel_envelope,2483.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,EC,Y22,fuel_envelope,4418.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,EC,Y23,fuel_envelope,5424.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,EE,Y21,intensity_electricity,0.0195,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,EE,Y21,intensity_liquid,0.2468,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,EE,Y21,fuel_envelope,80.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,EE,Y22,intensity_electricity,0.0269,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,EE,Y22,intensity_liquid,0.322,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,EE,Y22,fuel_envelope,69.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,EE,Y23,intensity_electricity,0.0713,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,EE,Y23,intensity_liquid,0.5012,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,EE,Y23,fuel_envelope,79.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,EG,Y21,fuel_envelope,27651.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,EG,Y22,fuel_envelope,26392.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,EG,Y23,fuel_envelope,30296.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,ER,Y21,fuel_envelope,50.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,ER,Y22,fuel_envelope,126.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,ER,Y23,fuel_envelope,144.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,ES,Y21,intensity_electricity,0.4085,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,ES,Y21,intensity_liquid,0.0849,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,ES,Y21,intensity_liquid,0.8512,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,ES,Y21,intensity_total,0.4664,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,ES,Y21,fuel_envelope,69452.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,ES,Y22,intensity_electricity,0.3024,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,ES,Y22,intensity_liquid,0.0578,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,ES,Y22,intensity_liquid,0.9607,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,ES,Y22,intensity_total,0.595,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,ES,Y22,fuel_envelope,104665.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,ES,Y23,intensity_electricity,0.2715,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,ES,Y23,intensity_liquid,0.0448,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,ES,Y23,intensity_liquid,0.7868,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,ES,Y23,intensity_total,0.4714,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,ES,Y23,fuel_envelope,110561.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,ET,Y21,fuel_envelope,305.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,ET,Y22,fuel_envelope,440.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,ET,Y23,fuel_envelope,600.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,FI,Y21,intensity_electricity,0.1822,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,FI,Y21,intensity_liquid,0.0724,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,FI,Y21,intensity_liquid,2.2276,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,FI,Y21,fuel_envelope,1058.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,FI,Y22,intensity_electricity,0.1854,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,FI,Y22,intensity_liquid,0.0609,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,FI,Y22,intensity_liquid,1.8486,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,FI,Y22,fuel_envelope,1852.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,FI,Y23,intensity_electricity,0.1843,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,FI,Y23,intensity_liquid,0.0592,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,FI,Y23,intensity_liquid,1.8901,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,FI,Y23,fuel_envelope,1852.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,FJ,Y21,fuel_envelope,563.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,FJ,Y22,fuel_envelope,232.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,FJ,Y23,fuel_envelope,1357.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,FM,Y21,fuel_envelope,43.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,FM,Y22,fuel_envelope,44.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,FM,Y23,fuel_envelope,44.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,FR,Y21,intensity_electricity,0.2387,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,FR,Y21,intensity_liquid,0.0432,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,FR,Y21,intensity_liquid,2.8003,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,FR,Y21,intensity_total,0.2198,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,FR,Y21,fuel_envelope,50912.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,FR,Y22,intensity_electricity,0.2029,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,FR,Y22,intensity_liquid,0.0357,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,FR,Y22,intensity_liquid,3.3375,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,FR,Y22,intensity_total,0.2198,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,FR,Y22,fuel_envelope,67010.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,FR,Y23,intensity_electricity,0.2275,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,FR,Y23,intensity_liquid,0.0337,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,FR,Y23,intensity_liquid,3.7057,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,FR,Y23,intensity_total,0.2472,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,FR,Y23,fuel_envelope,60120.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,GA,Y21,fuel_envelope,25.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,GA,Y22,fuel_envelope,101.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,GA,Y23,fuel_envelope,63.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,GB,Y21,intensity_electricity,0.3574,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,GB,Y21,intensity_liquid,0.456,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,GB,Y21,intensity_liquid,1.1356,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,GB,Y21,fuel_envelope,14905.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,GB,Y22,intensity_electricity,0.2516,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,GB,Y22,intensity_liquid,0.3425,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,GB,Y22,intensity_liquid,1.2488,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,GB,Y22,fuel_envelope,29458.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,GB,Y23,intensity_electricity,0.2248,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,GB,Y23,intensity_liquid,0.3059,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,GB,Y23,intensity_liquid,1.297,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,GB,Y23,fuel_envelope,34177.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,GE,Y21,intensity_electricity,0.1999,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,GE,Y21,intensity_liquid,0.0221,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,GE,Y21,fuel_envelope,26.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,GE,Y22,intensity_electricity,0.1589,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,GE,Y22,intensity_liquid,0.0116,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,GE,Y22,fuel_envelope,21.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,GE,Y23,intensity_electricity,0.1542,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,GE,Y23,intensity_liquid,0.0176,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,GE,Y23,fuel_envelope,41.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,GH,Y21,fuel_envelope,538.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,GH,Y22,fuel_envelope,816.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,GH,Y23,fuel_envelope,686.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,GL,Y21,fuel_envelope,301.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,GL,Y22,fuel_envelope,481.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,GL,Y23,fuel_envelope,511.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,GQ,Y21,fuel_envelope,123.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,GQ,Y22,fuel_envelope,154.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,GQ,Y23,fuel_envelope,105.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,GR,Y21,intensity_electricity,0.9696,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,GR,Y21,intensity_liquid,0.4341,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,GR,Y21,fuel_envelope,6412.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,GR,Y22,intensity_electricity,0.6499,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,GR,Y22,intensity_liquid,0.2631,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,GR,Y22,fuel_envelope,9753.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,GR,Y23,intensity_electricity,0.946,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,GR,Y23,intensity_liquid,0.2625,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,GR,Y23,fuel_envelope,11980.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,GY,Y21,fuel_envelope,273.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,GY,Y22,fuel_envelope,327.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,GY,Y23,fuel_envelope,1034.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,HK,Y21,fuel_envelope,224.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,HK,Y22,fuel_envelope,401.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,HK,Y23,fuel_envelope,449.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,HN,Y21,fuel_envelope,2179.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,HN,Y22,fuel_envelope,2813.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,HN,Y23,fuel_envelope,3115.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,HR,Y21,intensity_electricity,0.2319,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,HR,Y21,intensity_liquid,0.1657,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,HR,Y21,intensity_liquid,1.9207,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,HR,Y21,intensity_total,0.0637,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,HR,Y21,fuel_envelope,291.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,HR,Y22,intensity_electricity,0.2006,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,HR,Y22,intensity_liquid,0.1455,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,HR,Y22,intensity_liquid,2.7149,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,HR,Y22,intensity_total,0.055,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,HR,Y22,fuel_envelope,344.0,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,HR,Y23,intensity_electricity,0.1999,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,HR,Y23,intensity_liquid,0.1213,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,HR,Y23,intensity_liquid,3.1925,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,HR,Y23,intensity_total,0.055,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,HR,Y23,fuel_envelope,401.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,HU,Y21,intensity_electricity,0.2469,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,HU,Y21,intensity_liquid,0.0846,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,HU,Y21,intensity_liquid,0.0689,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,HU,Y21,intensity_total,0.2534,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
TRN.P+TRN.F,HU,Y22,intensity_electricity,0.2207,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,HU,Y22,intensity_liquid,0.0763,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,HU,Y22,intensity_liquid,0.114,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,HU,Y22,intensity_total,0.2197,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
TRN.P+TRN.F,HU,Y23,intensity_electricity,0.196,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,HU,Y23,intensity_liquid,0.068,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,HU,Y23,intensity_liquid,0.098,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,HU,Y23,intensity_total,0.1673,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,ID,Y21,fuel_envelope,68712.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,ID,Y22,fuel_envelope,100665.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,ID,Y23,fuel_envelope,115123.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,IE,Y21,intensity_electricity,0.1883,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,IE,Y21,intensity_liquid,1.5169,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,IE,Y21,fuel_envelope,274.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,IE,Y22,intensity_electricity,0.0961,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,IE,Y22,intensity_liquid,0.8716,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,IE,Y22,fuel_envelope,299.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,IE,Y23,intensity_electricity,0.0808,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,IE,Y23,intensity_liquid,0.7233,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,IE,Y23,fuel_envelope,318.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,IL,Y21,intensity_liquid,0.8362,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,IL,Y21,fuel_envelope,584.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,IL,Y22,intensity_liquid,0.6177,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,IL,Y22,fuel_envelope,994.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,IL,Y23,intensity_liquid,0.5685,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
AIR.DOM,IL,Y23,fuel_envelope,1027.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,IN,Y21,fuel_envelope,143762.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,IN,Y22,fuel_envelope,189540.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,IN,Y23,fuel_envelope,193127.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,IQ,Y21,fuel_envelope,262.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,IQ,Y22,fuel_envelope,328.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,IQ,Y23,fuel_envelope,264.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,IR,Y21,fuel_envelope,29792.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,IR,Y22,fuel_envelope,28562.3,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,IR,Y23,fuel_envelope,23393.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
BARGE+SHIP.DOM,IS,Y21,intensity_liquid,6.5491,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,IS,Y21,fuel_envelope,279.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
BARGE+SHIP.DOM,IS,Y22,intensity_liquid,17.3878,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
AIR.DOM,IS,Y22,fuel_envelope,327.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,IS,Y23,fuel_envelope,305.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,IT,Y21,intensity_electricity,0.3592,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,IT,Y21,intensity_liquid,0.031,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,IT,Y21,intensity_liquid,0.4232,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,IT,Y21,intensity_total,1.9111,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,IT,Y21,fuel_envelope,20045.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,IT,Y22,intensity_electricity,0.2834,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,IT,Y22,intensity_liquid,0.0068,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,IT,Y22,intensity_liquid,0.5074,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,IT,Y22,intensity_total,1.8366,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,IT,Y22,fuel_envelope,34930.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,IT,Y23,intensity_electricity,0.2871,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,IT,Y23,intensity_liquid,0.0065,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,IT,Y23,intensity_liquid,0.5153,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,IT,Y23,intensity_total,1.5706,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,IT,Y23,fuel_envelope,43346.6,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,JM,Y21,fuel_envelope,183.5,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
