region,sector,extracted_t,cell_share,weight
EE,Manufacture of glass and glass products,629.0,0.05,0.5
EE,"Sale, maintenance, repair of motor vehicles, motor vehi",608.0,0.1,1.0
EE,"Manufacture of cement, lime and plaster",501.0,0.05,0.5
EE,Re-processing of secondary wood material into new wood ,415.0,0.07,0.7
ES,"Wholesale trade and commission trade, except of motor v",100936.0,0.135,1.0
ES,Construction (45),78937.0,0.081,0.6
ES,"Retail trade, except of motor vehicles and motorcycles;",70419.0,0.135,1.0
ES,"Sale, maintenance, repair of motor vehicles, motor vehi",34551.0,0.135,1.0
ES,Manufacture of beverages,20074.0,0.108,0.8
ES,Manufacture of ceramic goods,13780.0,0.068,0.5
ES,Hotels and restaurants (55),9932.0,0.041,0.3
ES,Processing of Food products nec,7733.0,0.108,0.8
FI,Construction (45),30514.0,0.075,0.6
FI,"Wholesale trade and commission trade, except of motor v",15586.0,0.124,1.0
FI,"Retail trade, except of motor vehicles and motorcycles;",6892.0,0.124,1.0
FI,Paper,4479.0,0.05,0.4
FI,"Sale, maintenance, repair of motor vehicles, motor vehi",3811.0,0.124,1.0
FI,"Manufacture of cement, lime and plaster",1943.0,0.062,0.5
FI,"Forestry, logging and related service activities (02)",1342.0,0.025,0.2
FI,Re-processing of secondary wood material into new wood ,1213.0,0.087,0.7
FR,"Wholesale trade and commission trade, except of motor v",460307.0,0.278,1.0
FR,"Retail trade, except of motor vehicles and motorcycles;",183837.0,0.278,1.0
FR,Construction (45),168804.0,0.167,0.6
FR,"Sale, maintenance, repair of motor vehicles, motor vehi",63079.0,0.278,1.0
FR,Manufacture of beverages,43691.0,0.222,0.8
FR,Sugar refining,42262.0,0.222,0.8
FR,Processing of Food products nec,40465.0,0.222,0.8
FR,Manufacture of glass and glass products,30957.0,0.139,0.5
GB,Construction (45),349992.0,0.5,0.6
GB,Extraction of crude petroleum and services related to c,229952.0,0.5,0.1
GB,"Sale, maintenance, repair of motor vehicles, motor vehi",174784.0,0.8,1.0
GB,Manufacture of office machinery and computers (30),167250.0,0.5,0.3
GB,Manufacture of beverages,140527.0,0.8,0.8
GB,Extraction of natural gas and services related to natur,89914.0,0.5,0.1
GB,"Manufacture of medical, precision and optical instrumen",78807.0,0.5,0.3
GB,Manufacture of glass and glass products,77038.0,0.5,0.5
GR,"Wholesale trade and commission trade, except of motor v",78779.0,0.419,1.0
GR,Construction (45),43601.0,0.251,0.6
GR,"Retail trade, except of motor vehicles and motorcycles;",41390.0,0.419,1.0
GR,"Manufacture of cement, lime and plaster",17300.0,0.209,0.5
GR,"Sale, maintenance, repair of motor vehicles, motor vehi",10698.0,0.419,1.0
GR,Manufacture of beverages,8105.0,0.335,0.8
GR,Hotels and restaurants (55),7299.0,0.126,0.3
GR,Processing of Food products nec,5872.0,0.335,0.8
HR,Construction (45),21236.0,0.137,0.6
HR,"Wholesale trade and commission trade, except of motor v",20847.0,0.229,1.0
HR,"Retail trade, except of motor vehicles and motorcycles;",11257.0,0.229,1.0
HR,"Manufacture of cement, lime and plaster",5466.0,0.115,0.5
HR,Manufacture of beverages,5217.0,0.183,0.8
HR,"Sale, maintenance, repair of motor vehicles, motor vehi",2873.0,0.229,1.0
HR,"Manure treatment (conventional), storage and land appli",1340.0,0.16,0.7
HR,Hotels and restaurants (55),1311.0,0.069,0.3
HU,"Wholesale trade and commission trade, except of motor v",56877.0,0.328,1.0
HU,Construction (45),26725.0,0.197,0.6
HU,"Sale, maintenance, repair of motor vehicles, motor vehi",8251.0,0.328,1.0
HU,Manufacture of beverages,5809.0,0.262,0.8
HU,Manufacture of office machinery and computers (30),4349.0,0.098,0.3
HU,"Manufacture of cement, lime and plaster",4108.0,0.164,0.5
HU,Processing of Food products nec,3291.0,0.262,0.8
HU,Paper,3092.0,0.131,0.4
ID,"Wholesale trade and commission trade, except of motor v",155549.0,0.13,1.0
ID,"Retail trade, except of motor vehicles and motorcycles;",114188.0,0.13,1.0
ID,Cultivation of oil seeds,65506.0,0.026,0.2
ID,Construction (45),64498.0,0.078,0.6
ID,Processed rice,63287.0,0.104,0.8
ID,"Manufacture of cement, lime and plaster",47322.0,0.065,0.5
ID,Processing of Food products nec,43516.0,0.104,0.8
ID,Paper,27255.0,0.052,0.4
IE,"Wholesale trade and commission trade, except of motor v",29238.0,0.132,1.0
