region,activity,s_ele,u_need,net,residual
DE,Wind,511902.1374802533,18196.68512558826,18196.68512558826,493705.45235466503
DE,Nuclear,26283.89349540698,0.0,0.0,26283.89349540698
DK,Bioenergy,14444.57772207057,0.0,0.0,14444.57772207057
DK,"Biogasification of food waste, incl. land application",61.22429510108948,0.4887229233712797,0.4887229233712797,60.735572177718204
DK,"Biogasification of paper, incl. land application",8.503374320127453,0.0518948703279291,0.0518948703279291,8.451479449799523
DK,"Biogasification of sewage slugde, incl. land application",868.0624403742245,5.679798496978608,5.679798496978608,862.3826418772459
DK,Coal,5666.420406655812,279.1473941064297,279.1473941064297,5387.273012549383
DK,Gas,2244.4897865747157,107.70933903414438,107.70933903414438,2136.7804475405715
DK,Hydro,44.04634458638334,2.0674989594770796,2.0674989594770796,41.97884562690626
DK,Incineration of waste: Food,2332.644633149499,862.5774450025533,862.5774450025533,1470.0671881469457
DK,Incineration of waste: Oil/Hazardous waste,1035.2229694869009,254.9820349332552,254.9820349332552,780.2409345536457
DK,Incineration of waste: Paper,2332.6453808393853,585.8326147158282,585.8326147158282,1746.8127661235571
DK,Incineration of waste: Plastic,508.202871638207,49.953943454718186,49.953943454718186,458.24892818348883
DK,Incineration of waste: Textiles,526.2849465424663,121.38483281753768,121.38483281753768,404.9001137249286
DK,Incineration of waste: Wood,666.5380380353315,115.90966696201578,115.90966696201578,550.6283710733157
DK,Other Fossil,2232.2641657622735,107.41612226622412,107.41612226622412,2124.8480434960493
DK,Solar,7547.386474821797,349.45897103323,349.45897103323,7197.927503788566
DK,Wind,43519.42212461243,2056.989093694716,2056.989093694716,41462.43303091772
EE,Bioenergy,4851.224640818565,0.0,0.0,4851.224640818565
EE,"Biogasification of sewage slugde, incl. land application",32.45905842495147,0.728974665415308,0.728974665415308,31.730083759536164
EE,Gas,75.73917718936377,3.786958858592352,3.786958858592352,71.95221833077142
EE,Hydro,84.54605825789444,4.144552558192202,4.144552558192202,80.40150569970224
EE,Incineration of waste: Oil/Hazardous waste,77.93429216064224,10.515309809075903,10.515309809075903,67.41898235156634
EE,Incineration of waste: Paper,0.0147096567261299,0.0041382795161452,0.0041382795161452,0.0105713772099847
EE,Incineration of waste: Plastic,0.1922830971136149,0.0207039296541988,0.0207039296541988,0.17157916745941612
EE,Incineration of waste: Wood,8.118158019651949,1.0758114070588378,1.0758114070588378,7.042346612593111
EE,Other Fossil,10280.909889485216,1476.776705144163,1476.776705144163,8804.133184341053
EE,Solar,2539.904500164246,0.0,0.0,2539.904500164246
EE,Wind,2406.03990792258,122.01659688649808,122.01659688649808,2284.023311036082
ES,Bioenergy,21757.234710813165,1087.8617355406582,1087.8617355406582,20669.37297527251
ES,"Biogasification of food waste, incl. land application",2952.7242980081755,17.9633271991758,17.9633271991758,2934.760970809
ES,"Biogasification of paper, incl. land application",410.1005969955978,2.094233280046173,2.094233280046173,408.00636371555163
ES,"Biogasification of sewage slugde, incl. land application",2175.202798557012,10.580171305292671,10.580171305292671,2164.622627251719
ES,Coal,13353.627199267505,464.5705283459602,464.5705283459602,12889.056670921544
ES,Gas,236893.27279915023,8241.612493167684,8241.612493167684,228651.66030598254
ES,Hydro,92130.07603447158,2797.391215369828,2797.391215369828,89332.68481910175
ES,Incineration of waste: Food,1234.2368251618109,663.6412820183587,663.6412820183587,570.5955431434522
ES,Incineration of waste: Oil/Hazardous waste,1879.0374583187456,521.3245904025486,521.3245904025486,1357.712867916197
ES,Incineration of waste: Paper,1377.6349318110526,516.1086866428412,516.1086866428412,861.5262451682114
ES,Incineration of waste: Plastic,793.6254032106033,113.83362019423004,113.83362019423004,679.7917830163733
ES,Incineration of waste: Textiles,278.46516037698683,100.92494531754886,100.92494531754886,177.54021505943797
ES,Incineration of waste: Wood,405.7438636166028,112.1349252530692,112.1349252530692,293.60893836353364
ES,Other Fossil,41397.91398185328,0.0,0.0,41397.91398185328
ES,Other Renewables,44.22951321866135,0.0,0.0,44.22951321866135
ES,Solar,179077.92743682335,3612.472224513747,3612.472224513747,175465.4552123096
ES,Wind,236904.3301774549,1582.070453204819,1582.070453204819,235322.25972425006
ES,Nuclear,209622.09210707727,0.0,0.0,209622.09210707727
