site,year,eta_total,eta_elec_plants,eta_chp_total,eta_coal,eta_mgas,eta_peat,eta_oilshale,eta_gas,eta_oil,eta_bio,eta_waste,eta_coal_el,eta_mgas_el,eta_peat_el,eta_oilshale_el,eta_gas_el,eta_oil_el,eta_bio_el,eta_waste_el,fuel_in_PJ,elec_out_TWh,heat_out_PJ,flags,step0_decision,arbitrated_decision
ME,Y23,0.302,0.302,,0.302,,,,,,,,0.302,,,,,,,,19.5,1.64,0.0,,UNSD,UNSD
MF,Y21,0.403,0.403,,,,,,,0.403,,,,,,,,0.403,,,1.6,0.18,0.0,,,
MF,Y22,0.421,0.421,,,,,,,0.421,,,,,,,,0.421,,,1.6,0.19,0.0,,,
MF,Y23,0.429,0.429,,,,,,,0.429,,,,,,,,0.429,,,1.6,0.19,0.0,,,
MG,Y21,0.379,0.379,,0.394,,,,,0.383,0.499,,0.394,,,,,0.383,0.499,,13.7,1.44,0.0,,EMBER,EMBER
MG,Y22,0.408,0.408,,0.365,,,,,0.419,0.499,,0.365,,,,,0.419,0.499,,12.3,1.4,0.0,,EMBER,EMBER
MG,Y23,0.346,0.346,,0.357,,,,,0.35,0.466,,0.357,,,,,0.35,0.466,,13.1,1.26,0.0,,EMBER,EMBER
MH,Y21,0.348,0.348,,,,,,,0.348,,,,,,,,0.348,,,0.8,0.08,0.0,,,
MH,Y22,0.338,0.338,,,,,,,0.338,,,,,,,,0.338,,,0.8,0.08,0.0,,,
MH,Y23,0.334,0.334,,,,,,,0.334,,,,,,,,0.334,,,0.8,0.08,0.0,,,
MK,Y21,0.254,0.167,0.531,0.158,,,,0.588,0.323,0.25,,0.158,,,,0.397,0.323,0.25,,66.1,3.93,2.7,eta_elec_plants,UNSD,UNSD
MK,Y22,0.213,0.165,0.548,0.147,,,,0.62,0.338,0.25,,0.147,,,,0.393,0.338,0.25,,83.8,4.39,2.1,eta_elec_plants;eta_coal,UNSD,UNSD
MK,Y23,0.236,0.177,0.526,0.159,,,,0.598,0.347,0.25,,0.159,,,,0.422,0.347,0.25,,81.0,4.74,2.1,eta_elec_plants,UNSD,UNSD
ML,Y21,0.33,0.321,,,,,,,0.333,0.488,,,,,,,0.333,0.488,,26.0,2.38,0.0,,REVIEW,UNSD(eta)
ML,Y22,0.284,0.274,,,,,,,0.285,0.49,,,,,,,0.285,0.49,,29.1,2.3,0.0,,REVIEW,UNSD(eta)
ML,Y23,0.284,0.274,,,,,,,0.285,0.498,,,,,,,0.285,0.498,,29.7,2.34,0.0,,REVIEW,UNSD(eta)
MM,Y21,0.336,0.336,0.0,0.302,,,,0.342,0.148,,,0.302,,,,0.342,0.148,,,132.4,12.35,0.0,eta_chp_total;eta_oil,REVIEW,EMBER(eta)
MM,Y22,0.292,0.292,,0.303,,,,0.29,0.419,,,0.303,,,,0.29,0.419,,,151.5,12.27,0.0,,REVIEW,UNSD(eta)
MM,Y23,0.271,0.271,,0.291,,,,0.266,,,,0.291,,,,0.266,,,,149.9,11.28,0.0,,REVIEW,UNSD(eta)
MN,Y21,0.56,0.575,0.559,0.57,,,,,0.258,,,0.165,,,,,0.251,,,151.4,7.06,59.4,,UNSD,UNSD
MN,Y22,0.562,0.49,0.565,0.571,,,,,0.276,,,0.164,,,,,0.263,,,158.8,7.39,62.7,,UNSD,UNSD
MN,Y23,0.528,0.421,0.532,0.54,,,,,0.21,,,0.156,,,,,0.2,,,176.8,7.72,65.5,,UNSD,UNSD
MO,Y21,0.274,0.274,,,,,,0.339,0.442,,0.211,,,,,0.339,0.442,,0.211,6.5,0.5,0.0,,EMBER,EMBER
MO,Y22,0.29,0.29,,,,,,0.346,0.444,,0.215,,,,,0.346,0.444,,0.215,7.6,0.61,0.0,,EMBER,EMBER
MO,Y23,0.293,0.293,,,,,,0.351,0.45,,0.212,,,,,0.351,0.45,,0.212,8.0,0.65,0.0,,EMBER,EMBER
MP,Y21,0.36,0.36,,,,,,,0.36,,,,,,,,0.36,,,3.0,0.3,0.0,,,
MP,Y22,0.36,0.36,,,,,,,0.36,,,,,,,,0.36,,,3.0,0.3,0.0,,,
MP,Y23,0.36,0.36,,,,,,,0.36,,,,,,,,0.36,,,3.1,0.31,0.0,,,
MR,Y21,0.406,0.406,,,,,,,0.406,,,,,,,,0.406,,,11.0,1.24,0.0,,REVIEW,UNSD(eta)
MR,Y22,0.358,0.358,,,,,,,0.358,,,,,,,,0.358,,,12.7,1.26,0.0,,REVIEW,UNSD(eta)
MR,Y23,0.359,0.359,,,,,,,0.359,,,,,,,,0.359,,,12.0,1.2,0.0,,REVIEW,UNSD(eta)
MS,Y21,0.263,0.263,,,,,,,0.263,,,,,,,,0.263,,,0.2,0.01,0.0,,UNSD|dtot,UNSD|dtot
MS,Y22,0.328,0.328,,,,,,,0.328,,,,,,,,0.328,,,0.1,0.01,0.0,,UNSD|dtot,UNSD|dtot
MS,Y23,0.318,0.318,,,,,,,0.318,,,,,,,,0.318,,,0.1,0.01,0.0,,UNSD|dtot,UNSD|dtot
MT,Y21,0.462,0.462,0.468,,,,,0.465,0.368,0.468,,,,,,0.465,0.368,0.468,,15.3,1.96,0.0,,UNSD,UNSD
MT,Y22,0.459,0.459,0.66,,,,,0.465,0.314,0.66,,,,,,0.465,0.314,0.66,,15.7,2.0,0.0,,UNSD,UNSD
MT,Y23,0.459,0.459,0.542,,,,,0.461,0.279,0.542,,,,,,0.461,0.279,0.542,,16.0,2.04,0.0,,UNSD,UNSD
MU,Y21,0.292,0.292,,0.25,,,,,0.436,0.405,,0.25,,,,,0.436,0.405,,33.5,2.72,0.0,,REVIEW,UNSD(eta)
