site,year,eta_total,eta_elec_plants,eta_chp_total,eta_coal,eta_mgas,eta_peat,eta_oilshale,eta_gas,eta_oil,eta_bio,eta_waste,eta_coal_el,eta_mgas_el,eta_peat_el,eta_oilshale_el,eta_gas_el,eta_oil_el,eta_bio_el,eta_waste_el,fuel_in_PJ,elec_out_TWh,heat_out_PJ,flags,step0_decision,arbitrated_decision
RO,Y23,0.38,0.237,0.558,0.202,0.438,,,0.611,0.705,0.633,0.952,0.169,0.206,,,0.292,0.293,0.236,0.003,300.1,18.37,48.0,,UNSD,UNSD
RS,Y21,0.269,0.203,0.32,0.215,0.604,,,0.742,0.803,0.695,0.73,0.2,0.053,,,0.097,0.01,0.406,0.73,476.0,25.15,37.5,eta_chp_total,UNSD,UNSD
RS,Y22,0.263,0.203,0.323,0.213,0.599,,,0.689,0.862,0.679,0.842,0.2,0.056,,,0.132,0.016,0.365,0.842,472.8,25.27,33.5,eta_chp_total,UNSD,UNSD
RS,Y23,0.276,0.211,0.347,0.221,0.636,,,0.714,0.907,0.694,1.732,0.208,0.056,,,0.17,0.019,0.383,1.732,457.0,25.83,33.2,eta_chp_total;eta_waste,UNSD,UNSD
RU,Y21,0.572,0.2,0.544,0.534,0.603,0.517,,0.572,0.717,0.889,0.86,0.223,0.213,0.141,,0.184,0.119,0.01,0.074,13554.0,713.69,5179.1,,UNSD,UNSD
RU,Y22,0.574,0.211,0.545,0.512,0.598,0.415,,0.586,0.704,0.889,0.86,0.213,0.206,0.141,,0.191,0.127,0.012,0.074,13386.5,719.87,5087.8,,UNSD,UNSD
RU,Y23,0.554,0.203,0.526,0.507,0.594,0.407,,0.56,0.704,0.883,0.86,0.211,0.203,0.141,,0.183,0.127,0.013,0.074,14132.3,734.5,5191.2,,UNSD,UNSD
RW,Y21,0.43,0.43,,,,0.246,,0.565,0.352,0.397,,,,0.246,,0.565,0.352,0.397,,4.1,0.49,0.0,,REVIEW,UNSD(eta)
RW,Y22,0.325,0.325,,,,0.243,,0.41,0.33,0.397,,,,0.243,,0.41,0.33,0.397,,5.9,0.53,0.0,,REVIEW,UNSD(eta)
RW,Y23,0.295,0.295,,,,0.243,,0.367,0.292,0.397,,,,0.243,,0.367,0.292,0.397,,6.8,0.55,0.0,,REVIEW,UNSD(eta)
SA,Y21,0.318,0.318,,,,,,0.354,0.265,,,,,,,0.354,0.265,,,4280.0,377.68,0.0,,REVIEW,UNSD(eta)
SA,Y22,0.366,0.366,,,,,,0.44,0.256,,,,,,,0.44,0.256,,,4274.7,435.13,0.0,,REVIEW,UNSD(eta)
SA,Y23,0.359,0.359,,,,,,0.421,0.259,,,,,,,0.421,0.259,,,4404.0,438.73,0.0,,REVIEW,UNSD(eta)
SB,Y21,0.26,0.26,,,,,,,0.259,0.279,,,,,,,0.259,0.279,,1.6,0.11,0.0,,UNSD,UNSD
SB,Y22,0.254,0.254,,,,,,,0.253,0.273,,,,,,,0.253,0.273,,1.6,0.11,0.0,,UNSD,UNSD
SB,Y23,0.253,0.253,,,,,,,0.252,0.291,,,,,,,0.252,0.291,,1.7,0.12,0.0,,UNSD,UNSD
SC,Y21,0.385,0.385,,,,,,,0.385,,,,,,,,0.385,,,4.8,0.52,0.0,,REVIEW,UNSD(eta)
SC,Y22,0.382,0.382,,,,,,,0.382,,,,,,,,0.382,,,5.0,0.53,0.0,,REVIEW,UNSD(eta)
SC,Y23,0.385,0.385,,,,,,,0.385,,,,,,,,0.385,,,5.1,0.55,0.0,,REVIEW,UNSD(eta)
SD,Y21,0.35,0.354,0.2,,,,,,0.354,0.398,,,,,,,0.354,0.398,,68.9,6.69,0.0,eta_chp_total,REVIEW,EMBER(eta)
SD,Y22,0.432,0.444,0.199,,,,,,0.444,0.398,,,,,,,0.444,0.398,,40.3,4.84,0.0,eta_chp_total,REVIEW,EMBER(eta)
SD,Y23,0.338,0.35,0.162,,,,,,0.35,0.324,,,,,,,0.35,0.324,,32.4,3.04,0.0,eta_chp_total,REVIEW,EMBER(eta)
SE,Y21,0.804,0.345,0.791,0.89,0.807,0.638,,0.838,0.718,0.792,0.843,0.192,0.264,0.133,,0.179,0.212,0.201,0.163,302.0,16.14,184.6,,UNSD,UNSD
SE,Y22,0.804,0.37,0.794,0.886,0.796,0.661,,0.824,0.663,0.798,0.834,0.199,0.276,0.144,,0.174,0.25,0.212,0.164,286.5,16.02,172.6,,UNSD,UNSD
SE,Y23,0.807,0.36,0.784,0.859,0.788,0.645,,0.827,0.778,0.8,0.829,0.198,0.272,0.15,,0.127,0.159,0.222,0.14,255.2,14.02,155.5,,UNSD,UNSD
SG,Y21,0.48,0.48,,0.206,,,,0.515,0.123,0.599,0.194,0.206,,,,0.515,0.123,0.599,0.194,418.4,55.79,0.0,eta_oil,UNSD,UNSD
SG,Y22,0.491,0.491,,0.22,,,,0.537,0.038,0.599,0.207,0.22,,,,0.537,0.038,0.599,0.207,418.6,57.11,0.0,eta_oil,UNSD,UNSD
SG,Y23,0.482,0.482,,0.18,,,,0.514,0.116,0.552,0.212,0.18,,,,0.514,0.116,0.552,0.212,428.2,57.39,0.0,eta_oil,UNSD,UNSD
SH,Y21,0.419,0.419,,,,,,,0.419,,,,,,,,0.419,,,0.1,0.01,0.0,,EMBER,EMBER
SH,Y22,0.398,0.398,,,,,,,0.398,,,,,,,,0.398,,,0.1,0.01,0.0,,EMBER,EMBER
SH,Y23,0.403,0.403,,,,,,,0.403,,,,,,,,0.403,,,0.1,0.01,0.0,,EMBER,EMBER
SI,Y21,0.525,0.34,0.513,0.468,,,,0.723,0.477,0.761,0.46,0.353,,,,0.265,0.261,0.253,0.093,51.5,4.72,10.1,,UNSD,UNSD
SI,Y22,0.548,0.332,0.535,0.494,,,,0.68,0.599,0.753,0.44,0.367,,,,0.296,0.18,0.238,0.097,42.3,3.96,8.9,,UNSD,UNSD
SI,Y23,0.533,0.273,0.515,0.461,,,,0.752,0.7,0.723,0.426,0.369,,,,0.265,0.136,0.269,0.087,42.1,3.96,8.2,,UNSD,UNSD
SK,Y21,0.59,0.518,0.568,0.462,0.658,,,0.657,0.65,0.576,0.335,0.284,0.621,,,0.302,0.503,0.275,0.249,106.1,9.0,30.2,,UNSD,UNSD
SK,Y22,0.582,0.403,0.554,0.44,0.654,,,0.707,0.619,0.544,0.347,0.271,0.61,,,0.229,0.519,0.246,0.2,84.3,6.25,26.5,,UNSD,UNSD
SK,Y23,0.57,0.388,0.559,0.431,0.671,,,0.657,0.625,0.545,0.37,0.25,0.631,,,0.242,0.447,0.244,0.219,80.0,5.88,24.4,,UNSD,UNSD
SL,Y21,0.315,0.321,0.153,,,,,,0.321,0.191,,,,,,,0.321,0.191,,2.6,0.22,0.0,eta_chp_total,EMBER|dtot,EMBER|dtot
SL,Y22,0.319,0.323,0.189,,,,,,0.323,0.227,,,,,,,0.323,0.227,,3.0,0.27,0.0,eta_chp_total,EMBER|dtot,EMBER|dtot
SL,Y23,0.331,0.334,0.255,,,,,,0.338,0.219,,,,,,,0.338,0.219,,2.7,0.25,0.0,eta_chp_total,EMBER|dtot,EMBER|dtot
SN,Y21,0.386,0.386,,0.206,,,,0.296,0.44,0.232,,0.206,,,,0.296,0.44,0.232,,50.3,5.39,0.0,,REVIEW,UNSD(eta)
SN,Y22,0.431,0.431,,0.22,,,,0.306,0.502,0.256,,0.22,,,,0.306,0.502,0.256,,54.5,6.52,0.0,,REVIEW,UNSD(eta)
SN,Y23,0.473,0.473,,0.22,,,,0.307,0.502,0.256,,0.22,,,,0.307,0.502,0.256,,52.6,6.91,0.0,,REVIEW,UNSD(eta)
SO,Y21,0.331,0.331,,,,,,,0.331,,,,,,,,0.331,,,5.3,0.49,0.0,,REVIEW|dtot,UNSD(eta)
SO,Y22,0.331,0.331,,,,,,,0.331,,,,,,,,0.331,,,5.4,0.49,0.0,,REVIEW|dtot,UNSD(eta)
SO,Y23,0.332,0.332,,,,,,,0.332,,,,,,,,0.332,,,5.6,0.52,0.0,,REVIEW|dtot,UNSD(eta)
SR,Y21,0.296,0.296,,,,,,0.334,0.295,,,,,,,0.334,0.295,,,8.9,0.73,0.0,,EMBER,EMBER
SR,Y22,0.277,0.277,,,,,,0.329,0.276,,,,,,,0.329,0.276,,,15.0,1.16,0.0,,EMBER,EMBER
SR,Y23,0.26,0.26,,,,,,0.314,0.259,,,,,,,0.314,0.259,,,11.9,0.86,0.0,,EMBER,EMBER
SS,Y21,0.313,0.313,,,,,,,0.313,,,,,,,,0.313,,,6.3,0.55,0.0,,UNSD,UNSD
SS,Y22,0.313,0.313,,,,,,,0.313,,,,,,,,0.313,,,5.8,0.5,0.0,,UNSD,UNSD
SS,Y23,0.23,0.23,,,,,,,0.23,,,,,,,,0.23,,,10.8,0.69,0.0,,UNSD,UNSD
ST,Y21,0.347,0.347,,,,,,,0.347,,,,,,,,0.347,,,1.0,0.1,0.0,,REVIEW,UNSD(eta)
ST,Y22,0.347,0.347,,,,,,,0.347,,,,,,,,0.347,,,1.1,0.11,0.0,,REVIEW,UNSD(eta)
ST,Y23,0.353,0.353,,,,,,,0.353,,,,,,,,0.353,,,1.1,0.11,0.0,,REVIEW,UNSD(eta)
SV,Y21,0.297,0.158,,,,,,0.006,0.506,0.4,0.199,,,,,0.006,0.506,0.4,0.199,22.9,1.89,0.0,eta_elec_plants;eta_gas,EMBER|dtot,EMBER|dtot
SV,Y22,0.324,0.221,,,,,,0.455,0.575,0.374,0.191,,,,,0.455,0.575,0.374,0.191,27.9,2.51,0.0,,EMBER|dtot,EMBER|dtot
SV,Y23,0.292,0.222,,,,,,0.319,0.431,0.419,0.156,,,,,0.319,0.431,0.419,0.156,39.9,3.24,0.0,,EMBER|dtot,EMBER|dtot
SX,Y21,0.4,0.4,,,,,,,0.4,,,,,,,,0.4,,,2.6,0.29,0.0,,,
SX,Y22,0.399,0.399,,,,,,,0.399,,,,,,,,0.399,,,2.6,0.29,0.0,,,
SX,Y23,0.402,0.402,,,,,,,0.402,,,,,,,,0.402,,,2.7,0.3,0.0,,,
SY,Y21,0.403,0.403,,,,,,0.405,0.4,,,,,,,0.405,0.4,,,215.6,24.15,0.0,,EMBER,EMBER
SY,Y22,0.406,0.406,,,,,,0.405,0.407,,,,,,,0.405,0.407,,,202.9,22.87,0.0,,EMBER,EMBER
SY,Y23,0.406,0.406,,,,,,0.405,0.407,,,,,,,0.405,0.407,,,214.0,24.13,0.0,,EMBER,EMBER
SZ,Y21,0.463,0.092,0.499,0.136,,,,,,1.038,,0.136,,,,,,1.038,,2.9,0.37,0.0,eta_elec_plants;eta_coal;eta_bio,EMBER|dtot,EMBER|dtot
SZ,Y22,0.412,0.301,0.419,0.14,,,,,,0.925,,0.14,,,,,,0.925,,2.9,0.33,0.0,eta_coal,EMBER|dtot,EMBER|dtot
SZ,Y23,0.358,0.277,0.363,0.14,,,,,,0.781,,0.14,,,,,,0.781,,3.3,0.32,0.0,eta_coal,EMBER|dtot,EMBER|dtot
TC,Y21,0.351,0.351,,,,,,,0.351,,,,,,,,0.351,,,2.9,0.28,0.0,,UNSD,UNSD
TC,Y22,0.378,0.378,,,,,,,0.378,,,,,,,,0.378,,,2.9,0.3,0.0,,UNSD,UNSD
TC,Y23,0.386,0.386,,,,,,,0.386,,,,,,,,0.386,,,2.8,0.3,0.0,,UNSD,UNSD
TD,Y21,0.433,0.433,,,,,,,0.433,,,,,,,,0.433,,,2.7,0.33,0.0,,UNSD,UNSD
TD,Y22,0.433,0.433,,,,,,,0.433,,,,,,,,0.433,,,2.7,0.33,0.0,,UNSD,UNSD
TD,Y23,0.433,0.433,,,,,,,0.433,,,,,,,,0.433,,,2.7,0.33,0.0,,UNSD,UNSD
TG,Y21,0.285,0.285,,,,,,0.294,0.17,0.069,,,,,,0.294,0.17,0.069,,6.1,0.48,0.0,eta_bio,REVIEW,EMBER(eta)
TG,Y22,0.334,0.334,,,,,,0.345,0.123,0.072,,,,,,0.345,0.123,0.072,,7.0,0.65,0.0,eta_oil;eta_bio,REVIEW,EMBER(eta)
TG,Y23,0.334,0.334,,,,,,0.345,0.122,0.08,,,,,,0.345,0.122,0.08,,5.7,0.53,0.0,eta_oil;eta_bio,REVIEW,EMBER(eta)
TH,Y21,0.34,0.338,,0.402,,,,0.38,0.151,0.22,0.064,0.402,,,,0.38,0.151,0.22,0.064,1852.3,174.97,0.0,eta_waste,UNSD,UNSD
TH,Y22,0.354,0.353,,0.408,,,,0.452,0.178,0.194,0.02,0.408,,,,0.452,0.178,0.194,0.02,1874.5,184.53,0.0,eta_waste,UNSD,UNSD
TH,Y23,0.384,0.382,,0.423,,,,0.478,0.283,0.202,0.066,0.423,,,,0.478,0.283,0.202,0.066,1904.7,203.1,0.0,eta_waste,UNSD,UNSD
TJ,Y21,0.446,,0.446,0.446,,,,,,,,0.275,,,,,,,,21.7,1.66,3.7,,UNSD,UNSD
TJ,Y22,0.342,,0.342,0.342,,,,,,,,0.202,,,,,,,,26.3,1.48,3.7,eta_chp_total,UNSD,UNSD
TJ,Y23,0.292,,0.292,0.292,,,,,,,,0.172,,,,,,,,25.6,1.23,3.1,eta_chp_total,UNSD,UNSD
TL,Y21,0.407,0.407,,,,,,,0.407,,,,,,,,0.407,,,4.5,0.51,0.0,,UNSD,UNSD
TL,Y22,0.404,0.404,,,,,,,0.404,,,,,,,,0.404,,,4.6,0.52,0.0,,UNSD,UNSD
TL,Y23,0.466,0.466,,,,,,,0.466,,,,,,,,0.466,,,4.1,0.53,0.0,,UNSD,UNSD
TM,Y21,0.268,,0.268,,,,,0.268,,,,,,,,0.236,,,,433.1,28.39,13.7,eta_chp_total,UNSD,UNSD
TM,Y22,0.301,,0.301,,,,,0.301,,,,,,,,0.266,,,,441.4,32.59,15.7,eta_chp_total,UNSD,UNSD
TM,Y23,0.292,,0.292,,,,,0.292,,,,,,,,0.257,,,,456.1,32.59,15.7,eta_chp_total,UNSD,UNSD
TN,Y21,0.41,0.402,0.884,,,,,0.41,0.204,,,,,,,0.41,0.204,,,184.5,21.0,0.0,,UNSD,UNSD
TN,Y22,0.436,0.428,0.885,,,,,0.437,0.193,,,,,,,0.437,0.193,,,169.6,20.55,0.0,,UNSD,UNSD
TN,Y23,0.436,0.424,1.147,,,,,0.437,0.192,,,,,,,0.437,0.192,,,168.8,20.44,0.0,eta_chp_total,UNSD,UNSD
TO,Y21,0.399,0.399,,,,,,,0.399,,,,,,,,0.399,,,0.6,0.07,0.0,,UNSD,UNSD
TO,Y22,0.404,0.404,,,,,,,0.404,,,,,,,,0.404,,,0.6,0.07,0.0,,UNSD,UNSD
TO,Y23,0.393,0.393,,,,,,,0.393,,,,,,,,0.393,,,0.6,0.07,0.0,,UNSD,UNSD
TR,Y21,0.362,0.34,0.742,0.258,0.213,,,0.55,0.914,0.405,0.234,0.256,0.213,,,0.51,0.302,0.319,0.234,2323.5,221.31,43.4,,UNSD,UNSD
TR,Y22,0.336,0.314,0.744,0.258,0.215,,,0.554,0.499,0.405,0.289,0.256,0.215,,,0.504,0.33,0.324,0.289,2231.0,197.26,39.3,,UNSD,UNSD
TR,Y23,0.358,0.339,0.728,0.294,0.213,,,0.552,0.575,0.353,0.284,0.292,0.213,,,0.506,0.323,0.296,0.284,2089.2,198.58,33.8,,UNSD,UNSD
TT,Y21,0.333,0.333,,,,,,0.333,0.407,,,,,,,0.333,0.407,,,100.1,9.26,0.0,,UNSD,UNSD
TT,Y22,0.325,0.325,,,,,,0.325,0.368,,,,,,,0.325,0.368,,,106.0,9.57,0.0,,UNSD,UNSD
TT,Y23,0.32,0.32,,,,,,0.318,0.861,,,,,,,0.318,0.861,,,107.1,9.51,0.0,,UNSD,UNSD
TV,Y21,0.373,0.373,,,,,,,0.373,,,,,,,,0.373,,,0.1,0.01,0.0,,,
TV,Y22,0.374,0.374,,,,,,,0.374,,,,,,,,0.374,,,0.1,0.01,0.0,,,
TV,Y23,0.379,0.379,,,,,,,0.379,,,,,,,,0.379,,,0.1,0.01,0.0,,,
TW,Y21,0.428,0.405,0.525,0.445,0.443,,,0.413,0.427,0.347,0.309,0.375,0.348,,,0.413,0.304,0.342,0.26,2301.7,246.34,99.1,,UNSD,UNSD
TW,Y22,0.424,0.403,0.522,0.439,0.442,,,0.413,0.411,0.335,0.31,0.372,0.343,,,0.411,0.305,0.293,0.262,2257.3,241.26,88.3,,UNSD,UNSD
TW,Y23,0.423,0.406,0.501,0.431,0.466,,,0.42,0.409,0.356,0.285,0.372,0.366,,,0.419,0.294,0.331,0.235,2214.2,238.17,78.7,,UNSD,UNSD
TZ,Y21,0.326,0.326,,,,,,0.337,0.265,0.4,,,,,,0.337,0.265,0.4,,66.8,6.04,0.0,,UNSD,UNSD
TZ,Y22,0.327,0.327,,,,,,0.337,0.252,0.4,,,,,,0.337,0.252,0.4,,80.4,7.3,0.0,,UNSD,UNSD
TZ,Y23,0.33,0.33,,,,,,0.337,0.252,0.449,,,,,,0.337,0.252,0.449,,85.5,7.84,0.0,,UNSD,UNSD
UA,Y21,0.544,0.274,0.651,0.303,0.679,0.936,,0.762,0.613,0.821,0.704,0.259,0.11,0.049,,0.12,0.181,0.063,0.0,1043.3,51.83,380.8,,UNSD,UNSD
UA,Y22,0.549,0.274,0.652,0.304,0.679,0.935,,0.762,0.616,0.815,0.704,0.258,0.11,0.049,,0.121,0.18,0.078,0.0,695.2,34.35,257.8,,UNSD,UNSD
UA,Y23,0.534,0.273,0.629,0.306,0.679,0.933,,0.697,0.62,0.815,0.704,0.259,0.124,0.056,,0.122,0.19,0.085,0.0,719.6,35.17,257.8,,UNSD,UNSD
UG,Y21,0.206,0.206,,,,,,,0.33,0.385,,,,,,,0.33,0.385,,5.8,0.33,0.0,,REVIEW,UNSD(eta)
UG,Y22,0.085,0.085,,,,,,,0.329,0.167,,,,,,,0.329,0.167,,18.6,0.44,0.0,eta_total;eta_elec_plants,REVIEW,EMBER(eta)
UG,Y23,0.111,0.111,,,,,,,0.189,0.2,,,,,,,0.189,0.2,,9.7,0.3,0.0,eta_total;eta_elec_plants,REVIEW,EMBER(eta)
US,Y21,0.433,0.412,0.624,0.376,0.635,,,0.478,0.428,0.437,0.279,0.374,0.625,,,0.452,0.35,0.37,0.217,23696.7,2731.13,430.3,,UNSD,UNSD
US,Y22,0.432,0.411,0.624,0.371,0.694,,,0.473,0.441,0.434,0.256,0.369,0.694,,,0.45,0.369,0.367,0.221,23988.3,2762.67,418.9,,UNSD,UNSD
US,Y23,0.437,0.417,0.622,0.368,0.687,,,0.473,0.468,0.435,0.268,0.367,0.687,,,0.451,0.372,0.363,0.226,23184.8,2701.82,416.6,,UNSD,UNSD
UY,Y21,0.556,0.556,,,,,,0.322,0.461,0.689,,,,,,0.322,0.461,0.689,,33.7,5.21,0.0,,UNSD,UNSD
UY,Y22,0.58,0.58,,,,,,,0.453,0.695,,,,,,,0.453,0.695,,23.5,3.79,0.0,,UNSD,UNSD
UY,Y23,0.636,0.636,,,,,,,0.444,0.75,,,,,,,0.444,0.75,,23.2,4.1,0.0,eta_elec_plants,UNSD,UNSD
UZ,Y21,0.411,0.032,0.775,0.49,,,,0.4,0.671,,,0.245,,,,0.28,0.518,,,855.2,66.39,112.3,eta_elec_plants,UNSD,UNSD
UZ,Y22,0.454,0.384,0.417,0.454,,,,0.455,0.411,,,0.247,,,,0.323,0.198,,,775.3,67.35,109.5,,UNSD,UNSD
UZ,Y23,0.433,0.358,0.43,0.483,,,,0.433,0.224,,,0.23,,,,0.332,0.121,,,820.6,70.25,102.3,,UNSD,UNSD
VC,Y21,0.351,0.351,,,,,,,0.351,,,,,,,,0.351,,,1.3,0.12,0.0,,UNSD,UNSD
VC,Y22,0.378,0.378,,,,,,,0.378,,,,,,,,0.378,,,1.2,0.13,0.0,,UNSD,UNSD
VC,Y23,0.377,0.377,,,,,,,0.377,,,,,,,,0.377,,,1.3,0.14,0.0,,UNSD,UNSD
VE,Y21,0.348,0.348,,,,,,0.35,0.309,0.36,,,,,,0.35,0.309,0.36,,174.6,16.86,0.0,,REVIEW,UNSD(eta)
VE,Y22,0.348,0.348,,,,,,0.35,0.325,0.36,,,,,,0.35,0.325,0.36,,206.6,19.97,0.0,,REVIEW,UNSD(eta)
VE,Y23,0.348,0.348,,,,,,0.35,0.313,0.36,,,,,,0.35,0.313,0.36,,200.8,19.4,0.0,,REVIEW,UNSD(eta)
VG,Y21,0.43,0.43,,,,,,,0.43,,,,,,,,0.43,,,1.7,0.2,0.0,,UNSD|dtot,UNSD|dtot
VG,Y22,0.43,0.43,,,,,,,0.43,,,,,,,,0.43,,,1.7,0.21,0.0,,UNSD|dtot,UNSD|dtot
VG,Y23,0.43,0.43,,,,,,,0.43,,,,,,,,0.43,,,1.8,0.21,0.0,,UNSD|dtot,UNSD|dtot
VN,Y21,0.323,0.323,,0.309,,,,0.454,0.497,0.152,,0.309,,,,0.454,0.497,0.152,,1602.0,143.73,0.0,,UNSD,UNSD
VN,Y22,0.326,0.326,,0.308,,,,0.475,0.195,0.152,,0.308,,,,0.475,0.195,0.152,,1579.8,143.0,0.0,,UNSD,UNSD
VN,Y23,0.324,0.324,,0.309,,,,0.449,0.478,0.153,,0.309,,,,0.449,0.478,0.153,,1717.4,154.62,0.0,,UNSD,UNSD
VU,Y21,0.381,0.381,,,,,,,0.381,,,,,,,,0.381,,,0.6,0.06,0.0,,REVIEW,UNSD(eta)
VU,Y22,0.378,0.378,,,,,,,0.378,,,,,,,,0.378,,,0.6,0.06,0.0,,REVIEW,UNSD(eta)
VU,Y23,0.377,0.377,,,,,,,0.377,,,,,,,,0.377,,,0.6,0.06,0.0,,REVIEW,UNSD(eta)
WF,Y21,0.361,0.361,,,,,,,0.361,,,,,,,,0.361,,,0.2,0.02,0.0,,,
WF,Y22,0.362,0.362,,,,,,,0.362,,,,,,,,0.362,,,0.2,0.03,0.0,,,
WF,Y23,0.366,0.366,,,,,,,0.366,,,,,,,,0.366,,,0.2,0.02,0.0,,,
WS,Y21,0.337,0.337,,,,,,,0.337,0.184,,,,,,,0.337,0.184,,1.0,0.09,0.0,,REVIEW|dtot,UNSD(eta)
WS,Y22,0.473,0.473,,,,,,,0.475,0.048,,,,,,,0.475,0.048,,0.9,0.11,0.0,eta_bio,REVIEW|dtot,EMBER(eta)
WS,Y23,0.394,0.394,,,,,,,0.394,0.514,,,,,,,0.394,0.514,,1.2,0.14,0.0,,REVIEW|dtot,UNSD(eta)
XK,Y21,0.237,0.237,,0.237,,,,,0.346,,,0.237,,,,,0.265,,,98.0,6.45,0.0,,UNSD,UNSD
XK,Y22,0.238,0.238,,0.238,,,,,0.368,,,0.238,,,,,0.279,,,96.4,6.36,0.0,,UNSD,UNSD
XK,Y23,0.242,0.242,,0.242,,,,,0.353,,,0.242,,,,,0.269,,,82.6,5.55,0.0,,UNSD,UNSD
YE,Y21,0.325,0.325,,,,,,0.283,0.326,,,,,,,0.283,0.326,,,47.1,4.26,0.0,,EMBER|dtot,EMBER|dtot
YE,Y22,0.325,0.325,,,,,,0.283,0.326,,,,,,,0.283,0.326,,,52.0,4.7,0.0,,EMBER|dtot,EMBER|dtot
YE,Y23,0.325,0.325,,,,,,0.283,0.326,,,,,,,0.283,0.326,,,50.9,4.6,0.0,,EMBER|dtot,EMBER|dtot
ZA,Y21,0.238,0.238,0.5,0.239,,,,,0.159,0.267,,0.239,,,,,0.159,0.267,,3181.6,210.23,0.0,,UNSD,UNSD
ZA,Y22,0.263,0.263,0.502,0.264,,,,,0.244,0.221,,0.264,,,,,0.244,0.221,,2758.6,201.89,0.0,,UNSD,UNSD
ZA,Y23,0.261,0.261,0.5,0.262,,,,,0.243,0.209,,0.262,,,,,0.243,0.209,,2648.9,192.14,0.0,,UNSD,UNSD
ZM,Y21,0.2,0.2,,0.185,,,,,0.258,0.413,,0.185,,,,,0.258,0.413,,26.9,1.5,0.0,,UNSD,UNSD
ZM,Y22,0.266,0.266,,0.27,,,,,0.14,0.399,,0.27,,,,,0.14,0.399,,34.5,2.55,0.0,eta_oil,UNSD,UNSD
ZM,Y23,0.234,0.234,,0.236,,,,,0.217,0.394,,0.236,,,,,0.217,0.394,,34.0,2.21,0.0,,UNSD,UNSD
ZW,Y21,0.23,0.23,,0.23,,,,,,0.5,,0.23,,,,,,0.5,,39.2,2.51,0.0,,EMBER,EMBER
ZW,Y22,0.26,0.26,,0.263,,,,,,0.263,,0.263,,,,,,0.263,,43.0,3.1,0.0,,EMBER,EMBER
ZW,Y23,0.307,0.307,,0.31,,,,,,0.295,,0.31,,,,,,0.295,,60.4,5.16,0.0,,EMBER,EMBER
