site,decision,year,tvd,dtot,unsd_twh,ember_twh,chp_share_of_thermal,autoproducer_share,years_compared
KM,UNSD,Y23,0.0275,0.065,0.15,0.14,0.0,0.0,Y21:tvd=0.029;Y22:tvd=0.029;Y23:tvd=0.027
KN,UNSD,Y22,0.0227,0.1152,0.25,0.22,0.0,0.004,Y21:tvd=0.022;Y22:tvd=0.023
KP,UNSD,Y22,0.0032,0.0032,26.47,26.55,0.0,0.0,Y21:tvd=0.003;Y22:tvd=0.003
KR,UNSD,Y23,0.0476,0.0171,606.9,617.49,0.151,0.057,Y21:tvd=0.058;Y22:tvd=0.041;Y23:tvd=0.048
KW,REVIEW,Y23,0.1152,0.0306,88.19,85.57,0.0,0.0,Y21:tvd=0.052;Y22:tvd=0.020;Y23:tvd=0.115
KY,UNSD,Y23,0.0286,0.0766,0.75,0.7,0.0,0.0,Y21:tvd=0.029;Y22:tvd=0.029;Y23:tvd=0.029
KZ,UNSD,Y23,0.0094,0.0,113.59,113.59,0.876,0.112,Y21:tvd=0.051;Y22:tvd=0.001;Y23:tvd=0.009
LA,UNSD,Y23,0.0333,0.0681,48.74,52.3,0.0,0.0,Y21:tvd=0.042;Y22:tvd=0.001;Y23:tvd=0.033
LB,REVIEW,Y23,0.1084,0.2035,5.44,4.52,0.0,0.267,Y21:tvd=0.026;Y22:tvd=0.033;Y23:tvd=0.108
LC,UNSD,Y22,0.0071,0.0235,0.41,0.4,0.0,0.002,Y21:tvd=0.007;Y22:tvd=0.007
LK,UNSD,Y23,0.0298,0.0442,15.73,16.46,0.0,0.131,Y21:tvd=0.006;Y22:tvd=0.144;Y23:tvd=0.030
LR,EMBER,Y23,0.3816,0.1797,0.46,0.39,0.0,0.228,Y21:tvd=0.413;Y22:tvd=0.277;Y23:tvd=0.382
LS,UNSD,Y22,0.0029,0.0035,0.48,0.48,0.0,0.0,Y21:tvd=0.002;Y22:tvd=0.003
LT,UNSD,Y23,0.0232,0.0441,5.44,5.21,1.0,0.1,Y21:tvd=0.013;Y22:tvd=0.036;Y23:tvd=0.023
LU,UNSD,Y23,0.0128,0.0109,1.38,1.4,1.0,0.281,Y21:tvd=0.005;Y22:tvd=0.008;Y23:tvd=0.013
LV,UNSD,Y23,0.0019,0.0028,6.39,6.37,1.0,0.051,Y21:tvd=0.001;Y22:tvd=0.001;Y23:tvd=0.002
LY,UNSD,Y23,0.0227,0.0388,33.75,35.11,0.0,0.0,Y21:tvd=0.000;Y22:tvd=0.000;Y23:tvd=0.023
MA,UNSD,Y23,0.0288,0.0256,43.55,42.46,0.0,0.036,Y21:tvd=0.030;Y22:tvd=0.028;Y23:tvd=0.029
MD,EMBER|dtot,Y23,0.4635,0.7685,1.17,5.05,0.985,0.199,Y21:tvd=0.128;Y22:tvd=0.349;Y23:tvd=0.463
ME,UNSD,Y23,0.0067,0.0078,4.19,4.22,0.0,0.0,Y21:tvd=0.002;Y22:tvd=0.002;Y23:tvd=0.007
MG,EMBER,Y22,0.1504,0.1272,2.3,2.64,0.0,0.148,Y21:tvd=0.131;Y22:tvd=0.150
MK,UNSD,Y23,0.0178,0.0196,6.77,6.91,0.292,0.0,Y21:tvd=0.002;Y22:tvd=0.002;Y23:tvd=0.018
