site,decision,year,tvd,dtot,unsd_twh,ember_twh,chp_share_of_thermal,autoproducer_share,years_compared
SD,REVIEW,Y23,0.0943,0.1358,14.47,16.75,0.028,0.008,Y21:tvd=0.023;Y22:tvd=0.006;Y23:tvd=0.094
SE,UNSD,Y23,0.0009,0.0009,166.04,165.89,0.998,0.049,Y21:tvd=0.000;Y22:tvd=0.000;Y23:tvd=0.001
SG,UNSD,Y23,0.012,0.0246,58.73,57.32,0.0,0.077,Y21:tvd=0.011;Y22:tvd=0.018;Y23:tvd=0.012
SH,EMBER,Y22,0.1861,0.0458,0.01,0.01,0.0,0.0,Y21:tvd=0.207;Y22:tvd=0.186
SI,UNSD,Y23,0.0013,0.0018,15.58,15.55,0.998,0.091,Y21:tvd=0.001;Y22:tvd=0.001;Y23:tvd=0.001
SK,UNSD,Y23,0.0011,0.001,29.56,29.53,0.789,0.095,Y21:tvd=0.001;Y22:tvd=0.001;Y23:tvd=0.001
SL,EMBER|dtot,Y23,0.4639,1.3542,0.49,0.21,0.03,0.015,Y21:tvd=0.430;Y22:tvd=0.496;Y23:tvd=0.464
SN,REVIEW,Y23,0.1309,0.0048,8.01,8.05,0.0,0.086,Y21:tvd=0.047;Y22:tvd=0.090;Y23:tvd=0.131
SO,REVIEW|dtot,Y23,0.0603,0.4234,0.6,0.42,0.0,0.192,Y21:tvd=0.025;Y22:tvd=0.063;Y23:tvd=0.060
SR,EMBER,Y23,0.1584,0.0368,2.06,2.14,0.0,0.756,Y21:tvd=0.066;Y22:tvd=0.011;Y23:tvd=0.158
SS,UNSD,Y23,0.0283,0.2193,0.72,0.59,0.0,0.123,Y21:tvd=0.005;Y22:tvd=0.008;Y23:tvd=0.028
ST,REVIEW,Y22,0.0942,0.2237,0.11,0.09,0.0,0.0,Y21:tvd=0.043;Y22:tvd=0.094
SV,EMBER|dtot,Y23,0.2543,0.3247,8.61,6.5,0.191,0.089,Y21:tvd=0.102;Y22:tvd=0.193;Y23:tvd=0.254
SY,EMBER,Y22,0.1503,0.182,23.74,20.08,0.0,0.047,Y21:tvd=0.152;Y22:tvd=0.150
SZ,EMBER|dtot,Y23,0.23,0.8117,1.01,0.56,0.49,0.329,Y21:tvd=0.310;Y22:tvd=0.288;Y23:tvd=0.230
TC,UNSD,Y23,0.0131,0.1769,0.31,0.26,0.0,0.0,Y21:tvd=0.014;Y22:tvd=0.013;Y23:tvd=0.013
TD,UNSD,Y22,0.0256,0.1344,0.34,0.39,0.0,0.005,Y21:tvd=0.023;Y22:tvd=0.026
TG,REVIEW,Y23,0.0726,0.2187,0.72,0.92,0.0,0.024,Y21:tvd=0.107;Y22:tvd=0.074;Y23:tvd=0.073
TH,UNSD,Y23,0.0447,0.1644,221.79,190.48,0.004,0.0,Y21:tvd=0.050;Y22:tvd=0.059;Y23:tvd=0.045
TJ,UNSD,Y23,0.0179,0.012,21.86,21.6,1.0,0.0,Y21:tvd=0.019;Y22:tvd=0.013;Y23:tvd=0.018
TL,UNSD,Y23,0.004,0.0358,0.53,0.51,0.0,0.0,Y21:tvd=0.004;Y22:tvd=0.004;Y23:tvd=0.004
TM,UNSD,Y23,0.0001,0.0352,32.6,33.79,1.0,0.0,Y21:tvd=0.000;Y22:tvd=0.000;Y23:tvd=0.000
TN,UNSD,Y23,0.0007,0.0079,21.46,21.29,0.041,0.088,Y21:tvd=0.001;Y22:tvd=0.000;Y23:tvd=0.001
TO,UNSD,Y23,0.0317,0.2114,0.08,0.07,0.0,0.0,Y21:tvd=0.059;Y22:tvd=0.041;Y23:tvd=0.032
TR,UNSD,Y23,0.0233,0.0355,331.15,319.79,0.059,0.092,Y21:tvd=0.017;Y22:tvd=0.022;Y23:tvd=0.023
TT,UNSD,Y23,0.004,0.0017,9.52,9.5,0.0,0.008,Y21:tvd=0.001;Y22:tvd=0.001;Y23:tvd=0.004
TW,UNSD,Y23,0.0207,0.0112,279.11,282.28,0.14,0.154,Y21:tvd=0.023;Y22:tvd=0.021;Y23:tvd=0.021
TZ,UNSD,Y23,0.0468,0.0297,10.65,10.98,0.0,0.072,Y21:tvd=0.062;Y22:tvd=0.059;Y23:tvd=0.047
UA,UNSD,Y22,0.0321,0.0067,110.76,111.51,0.336,0.022,Y21:tvd=0.033;Y22:tvd=0.032
UG,REVIEW,Y22,0.0629,0.0349,5.95,5.75,0.0,0.205,Y21:tvd=0.041;Y22:tvd=0.063
US,UNSD,Y23,0.014,0.0415,4430.41,4253.91,0.108,0.049,Y21:tvd=0.015;Y22:tvd=0.015;Y23:tvd=0.014
UY,UNSD,Y23,0.0022,0.0022,12.91,12.88,0.0,0.161,Y21:tvd=0.002;Y22:tvd=0.004;Y23:tvd=0.002
UZ,UNSD,Y23,0.0355,0.0206,77.82,76.25,0.364,0.004,Y21:tvd=0.001;Y22:tvd=0.011;Y23:tvd=0.036
VC,UNSD,Y23,0.0212,0.0884,0.16,0.15,0.0,0.009,Y21:tvd=0.026;Y22:tvd=0.028;Y23:tvd=0.021
VE,REVIEW,Y23,0.0772,0.0015,82.81,82.94,0.0,0.01,Y21:tvd=0.057;Y22:tvd=0.065;Y23:tvd=0.077
VG,UNSD|dtot,Y23,0.0233,0.2744,0.22,0.17,0.0,0.0,Y21:tvd=0.022;Y22:tvd=0.023;Y23:tvd=0.023
VI,UNSD,Y23,0.0402,0.0433,0.7,0.67,0.0,0.043,Y21:tvd=0.031;Y22:tvd=0.035;Y23:tvd=0.040
VN,UNSD,Y23,0.0217,0.009,274.1,276.59,0.0,0.036,Y21:tvd=0.014;Y22:tvd=0.016;Y23:tvd=0.022
VU,REVIEW,Y23,0.0616,0.0515,0.08,0.08,0.0,0.053,Y21:tvd=0.053;Y22:tvd=0.058;Y23:tvd=0.062
WS,REVIEW|dtot,Y23,0.1015,0.3473,0.2,0.15,0.0,0.0,Y21:tvd=0.058;Y22:tvd=0.106;Y23:tvd=0.101
XK,UNSD,Y23,0.0407,0.0447,6.35,6.08,0.0,0.0,Y21:tvd=0.002;Y22:tvd=0.033;Y23:tvd=0.041
YE,EMBER|dtot,Y23,0.2326,0.6734,5.14,3.07,0.0,0.146,Y21:tvd=0.269;Y22:tvd=0.236;Y23:tvd=0.233
ZA,UNSD,Y23,0.0416,0.064,218.75,233.71,0.0,0.127,Y21:tvd=0.003;Y22:tvd=0.015;Y23:tvd=0.042
ZM,UNSD,Y23,0.0036,0.0032,19.52,19.46,0.0,0.004,Y21:tvd=0.019;Y22:tvd=0.017;Y23:tvd=0.004
ZW,EMBER,Y23,0.2526,0.0663,8.86,8.31,0.0,0.005,Y21:tvd=0.013;Y22:tvd=0.012;Y23:tvd=0.253
